any,província,sexe,concepte,estat,valor
1998,Barcelona,homes,població,,2266793
1998,Barcelona,dones,població,,2399478
1998,Barcelona,total,població,,4666271
1998,Girona,homes,població,,269400
1998,Girona,dones,població,,273791
1998,Girona,total,població,,543191
1998,Lleida,homes,població,,178152
1998,Lleida,dones,població,,179751
1998,Lleida,total,població,,357903
1998,Tarragona,homes,població,,288339
1998,Tarragona,dones,població,,291906
1998,Tarragona,total,població,,580245
1998,Catalunya,homes,població,,3002684
1998,Catalunya,dones,població,,3144926
1998,Catalunya,total,població,,6147610
1999,Barcelona,homes,població,,2288233
1999,Barcelona,dones,població,,2418092
1999,Barcelona,total,població,,4706325
1999,Girona,homes,població,,275482
1999,Girona,dones,població,,279150
1999,Girona,total,població,,554632
1999,Lleida,homes,població,,179089
1999,Lleida,dones,població,,180272
1999,Lleida,total,població,,359361
1999,Tarragona,homes,població,,292693
1999,Tarragona,dones,població,,295806
1999,Tarragona,total,població,,588499
1999,Catalunya,homes,població,,3035497
1999,Catalunya,dones,població,,3173320
1999,Catalunya,total,població,,6208817
2000,Barcelona,homes,població,,2299291
2000,Barcelona,dones,població,,2436986
2000,Barcelona,total,població,,4736277
2000,Girona,homes,població,,281460
2000,Girona,dones,població,,284139
2000,Girona,total,població,,565599
2000,Lleida,homes,població,,180132
2000,Lleida,dones,població,,181458
2000,Lleida,total,població,,361590
2000,Tarragona,homes,població,,297745
2000,Tarragona,dones,població,,300788
2000,Tarragona,total,població,,598533
2000,Catalunya,homes,població,,3058628
2000,Catalunya,dones,població,,3203371
2000,Catalunya,total,població,,6261999
2001,Barcelona,homes,població,,2337968
2001,Barcelona,dones,població,,2466638
2001,Barcelona,total,població,,4804606
2001,Girona,homes,població,,289317
2001,Girona,dones,població,,290333
2001,Girona,total,població,,579650
2001,Lleida,homes,població,,182362
2001,Lleida,dones,població,,182661
2001,Lleida,total,població,,365023
2001,Tarragona,homes,població,,305689
2001,Tarragona,dones,població,,306397
2001,Tarragona,total,població,,612086
2001,Catalunya,homes,població,,3115336
2001,Catalunya,dones,població,,3246029
2001,Catalunya,total,població,,6361365
2002,Barcelona,homes,població,,2398899
2002,Barcelona,dones,població,,2507218
2002,Barcelona,total,població,,4906117
2002,Girona,homes,població,,299657
2002,Girona,dones,població,,298455
2002,Girona,total,població,,598112
2002,Lleida,homes,població,,186026
2002,Lleida,dones,població,,185029
2002,Lleida,total,població,,371055
2002,Tarragona,homes,població,,316447
2002,Tarragona,dones,població,,314709
2002,Tarragona,total,població,,631156
2002,Catalunya,homes,població,,3201029
2002,Catalunya,dones,població,,3305411
2002,Catalunya,total,població,,6506440
2003,Barcelona,homes,població,,2479347
2003,Barcelona,dones,població,,2573319
2003,Barcelona,total,població,,5052666
2003,Girona,homes,població,,311514
2003,Girona,dones,població,,308178
2003,Girona,total,població,,619692
2003,Lleida,homes,població,,189998
2003,Lleida,dones,població,,187641
2003,Lleida,total,població,,377639
2003,Tarragona,homes,població,,328991
2003,Tarragona,dones,població,,325158
2003,Tarragona,total,població,,654149
2003,Catalunya,homes,població,,3309850
2003,Catalunya,dones,població,,3394296
2003,Catalunya,total,població,,6704146
2004,Barcelona,homes,població,,2512246
2004,Barcelona,dones,població,,2605639
2004,Barcelona,total,població,,5117885
2004,Girona,homes,població,,320098
2004,Girona,dones,població,,316100
2004,Girona,total,població,,636198
2004,Lleida,homes,població,,194378
2004,Lleida,dones,població,,190714
2004,Lleida,total,població,,385092
2004,Tarragona,homes,població,,339607
2004,Tarragona,dones,població,,334537
2004,Tarragona,total,població,,674144
2004,Catalunya,homes,població,,3366329
2004,Catalunya,dones,població,,3446990
2004,Catalunya,total,població,,6813319
2005,Barcelona,homes,població,,2571514
2005,Barcelona,dones,població,,2654840
2005,Barcelona,total,població,,5226354
2005,Girona,homes,població,,336206
2005,Girona,dones,població,,328300
2005,Girona,total,població,,664506
2005,Lleida,homes,població,,203618
2005,Lleida,dones,població,,195821
2005,Lleida,total,població,,399439
