any;municipi;sexe;concepte;estat;valor
1998;Abella de la Conca;homes;població;;98
1998;Abella de la Conca;dones;població;;84
1998;Abella de la Conca;total;població;;182
1998;Abrera;homes;població;;3791
1998;Abrera;dones;població;;3582
1998;Abrera;total;població;;7373
1998;Àger;homes;població;;289
1998;Àger;dones;població;;253
1998;Àger;total;població;;542
1998;Agramunt;homes;població;;2511
1998;Agramunt;dones;població;;2439
1998;Agramunt;total;població;;4950
1998;Aguilar de Segarra;homes;població;;104
1998;Aguilar de Segarra;dones;població;;107
1998;Aguilar de Segarra;total;població;;211
1998;Agullana;homes;població;;325
1998;Agullana;dones;població;;297
1998;Agullana;total;població;;622
1998;Aiguafreda;homes;població;;1047
1998;Aiguafreda;dones;població;;1103
1998;Aiguafreda;total;població;;2150
1998;Aiguamúrcia;homes;població;;313
1998;Aiguamúrcia;dones;població;;314
1998;Aiguamúrcia;total;població;;627
1998;Aiguaviva;homes;població;;230
1998;Aiguaviva;dones;població;;225
1998;Aiguaviva;total;població;;455
1998;Aitona;homes;població;;1085
1998;Aitona;dones;població;;1099
1998;Aitona;total;població;;2184
1998;Alamús, els;homes;població;;340
1998;Alamús, els;dones;població;;339
1998;Alamús, els;total;població;;679
1998;Alàs i Cerc;homes;població;;222
1998;Alàs i Cerc;dones;població;;188
1998;Alàs i Cerc;total;població;;410
1998;Albagés, l';homes;població;;266
1998;Albagés, l';dones;població;;246
1998;Albagés, l';total;població;;512
1998;Albanyà;homes;població;;69
1998;Albanyà;dones;població;;62
1998;Albanyà;total;població;;131
1998;Albatàrrec;homes;població;;533
1998;Albatàrrec;dones;població;;536
1998;Albatàrrec;total;població;;1069
1998;Albesa;homes;població;;729
1998;Albesa;dones;població;;757
1998;Albesa;total;població;;1486
1998;Albi, l';homes;població;;395
1998;Albi, l';dones;població;;381
1998;Albi, l';total;població;;776
1998;Albinyana;homes;població;;603
1998;Albinyana;dones;població;;581
1998;Albinyana;total;població;;1184
1998;Albiol, l';homes;població;;73
1998;Albiol, l';dones;població;;71
1998;Albiol, l';total;població;;144
1998;Albons;homes;població;;273
1998;Albons;dones;població;;255
1998;Albons;total;població;;528
1998;Alcanar;homes;població;;3812
1998;Alcanar;dones;població;;3899
1998;Alcanar;total;població;;7711
1998;Alcanó;homes;població;;136
1998;Alcanó;dones;població;;136
1998;Alcanó;total;població;;272
1998;Alcarràs;homes;població;;2382
1998;Alcarràs;dones;població;;2404
1998;Alcarràs;total;població;;4786
1998;Alcoletge;homes;població;;865
1998;Alcoletge;dones;població;;844
1998;Alcoletge;total;població;;1709
1998;Alcover;homes;població;;1861
1998;Alcover;dones;població;;1803
1998;Alcover;total;població;;3664
1998;Aldea, l';homes;població;;1792
1998;Aldea, l';dones;població;;1741
1998;Aldea, l';total;població;;3533
1998;Aldover;homes;població;;376
1998;Aldover;dones;població;;419
1998;Aldover;total;població;;795
1998;Aleixar, l';homes;població;;337
1998;Aleixar, l';dones;població;;348
1998;Aleixar, l';total;població;;685
1998;Alella;homes;població;;3901
1998;Alella;dones;població;;3988
1998;Alella;total;població;;7889
1998;Alfara de Carles;homes;població;;201
1998;Alfara de Carles;dones;població;;181
1998;Alfara de Carles;total;població;;382
1998;Alfarràs;homes;població;;1433
1998;Alfarràs;dones;població;;1489
1998;Alfarràs;total;població;;2922
1998;Alfés;homes;població;;178
1998;Alfés;dones;població;;156
1998;Alfés;total;població;;334
1998;Alforja;homes;població;;605
1998;Alforja;dones;població;;574
1998;Alforja;total;població;;1179
1998;Algerri;homes;població;;252
1998;Algerri;dones;població;;266
1998;Algerri;total;població;;518
1998;Alguaire;homes;població;;1432
1998;Alguaire;dones;població;;1392
1998;Alguaire;total;població;;2824
1998;Alins;homes;població;;149
1998;Alins;dones;població;;139
